DllCharacteristics,DebugSize,DebugRVA,MajorLinkerVersion,MajorOSVersion,ResourceSize,Benign
49504,84,9024,14,10,1056,1
320,84,80152,14,6,1344,1
16704,84,11248,14,10,1000,1
16736,84,68656,14,10,1000,1
32768,28,20480,2,4,1256,1
16704,84,96368,14,10,280860,1
16736,84,733184,14,10,280860,1
64,28,5760,9,6,283092,1
17728,84,4416,14,10,992,1
16736,84,9024,14,10,992,1
1344,28,4240,9,6,992,1
320,28,4432,9,6,992,1
320,28,4688,9,6,1328,1
16704,56,255744,14,6,405040,1
16736,56,293280,14,6,405040,1
1344,56,4096,14,6,370504,1
352,56,4096,14,6,370504,1
34144,28,25072,48,4,1792,1
16704,56,1685152,14,6,11576,1
16704,56,238800,14,6,7768,1
1344,84,4096,14,6,6956,1
1344,84,4096,14,6,6936,1
1344,84,4096,14,6,6704,1
1344,84,4096,14,6,3376,1
1344,84,4096,14,6,7256,1
1344,84,4096,14,6,6520,1
1344,84,4096,14,6,7460,1
1344,84,4096,14,6,6440,1
1344,84,4096,14,6,7744,1
1344,84,4096,14,6,7212,1
34112,56,329052,11,5,1066,1
33088,28,242976,10,5,14608,1
33088,28,242976,10,5,14608,1
33088,28,242976,10,5,14608,1
33088,28,242976,10,5,14608,1
32768,28,122880,2,4,1256,1
17728,84,4528,14,10,984,1
1344,28,4288,9,6,984,1
448,28,545984,10,5,960,1
448,28,434784,10,5,960,1
49504,84,544928,14,10,2528,1
33088,28,7104,9,6,2528,1
33088,84,64224,14,6,50112,1
1344,28,4096,14,6,155032,1
320,84,307028,14,6,1624,1
1344,84,11088,14,6,984,1
1344,84,11088,14,6,1000,1
1344,28,4096,14,6,76360,1
34144,56,11340,48,4,2212,1
320,28,41312,9,5,1552,1
320,28,45760,9,5,1560,1
1024,0,0,9,5,808,1
33088,84,44176,14,6,1824,1
352,84,319024,14,6,1056,1
320,84,38032,14,6,1048,1
320,84,38032,14,6,1056,1
33088,28,5360,9,6,2176,1
49472,84,31856,14,10,2168,1
49504,84,124160,14,10,2176,1
33088,28,4736,9,6,2168,1
16736,84,14720,14,10,1104,1
320,28,4512,9,6,1104,1
0,28,16384,2,4,0,1
16736,84,147536,14,10,1392,1
49504,84,42064,14,10,2160,1
16704,84,5152,14,10,1032,1
16736,84,10688,14,10,1032,1
320,28,4288,9,6,1032,1
320,28,4480,9,6,1032,1
0,0,0,6,4,66232,1
33088,112,104672,14,6,1368,1
49472,84,4416,14,10,175080,1
49504,84,9040,14,10,175088,1
49504,84,36800,14,10,1032,1
34144,28,155796,48,4,60044,1
320,28,442467,2,4,111640,1
320,28,442466,2,4,111024,1
34144,28,98360,48,4,60136,1
320,28,1532015,2,4,3000,1
320,28,1556591,2,4,3000,1
0,28,57484,2,4,1256,1
0,28,49292,2,4,1256,1
320,28,1540197,2,4,3000,1
320,28,2084970,2,4,3000,1
320,28,1855594,2,4,3000,1
320,28,442470,2,4,110856,1
320,28,1532011,2,4,3000,1
320,28,1646697,2,4,3000,1
320,28,1679465,2,4,3000,1
320,28,1663080,2,4,3000,1
320,28,331878,2,4,3000,1
320,28,323682,2,4,3000,1
320,56,598720,12,6,1512,1
34144,28,302928,48,4,1628,1
320,28,442467,2,4,110856,1
320,56,3368880,14,6,1152,1
32768,28,32768,2,4,1256,1
320,84,1598932,14,6,1176,1
320,56,2528640,14,6,1152,1
320,28,323686,2,4,3000,1
320,28,1663082,2,4,3000,1
320,28,1695850,2,4,3000,1
320,28,1511536,2,4,3000,1
320,28,1544304,2,4,3000,1
320,28,1511529,2,4,3000,1
320,28,1544297,2,4,3000,1
320,28,1609834,2,4,3000,1
33088,56,1165264,12,6,2800,1
49472,84,1935200,14,6,2784,1
33088,56,1220288,14,6,391420,1
33088,56,42688,14,6,100388,1
16704,84,18560,14,10,21344,1
16736,84,183696,14,10,21344,1
320,28,4544,9,6,19984,1
320,28,4944,9,6,19984,1
16704,84,34768,14,10,972376,1
16736,84,90208,14,10,972376,1
320,28,4496,9,6,972376,1
320,28,4928,9,6,972376,1
320,84,85184,14,6,1192,1
16736,84,118736,14,6,1192,1
1344,28,4096,14,6,165300,1
320,0,0,11,6,1281,1
320,28,6704,9,6,130152,1
320,28,5424,9,6,130152,1
49472,84,33088,14,10,41424,1
49504,84,186256,14,10,41424,1
16736,84,55088,14,10,1232,1
34112,28,10812,8,4,1624,1
0,28,8496,8,4,3167612,1
32768,28,16384,2,4,1256,1
32768,28,196608,2,4,1256,1
32768,28,192512,2,4,1256,1
1344,28,4096,14,6,115264,1
1344,28,4096,14,6,4700,1
16736,84,1589452,14,6,351440,1
16736,28,4096,14,6,8911852,1
16736,84,60912,14,10,2856,1
320,28,5456,9,6,2856,1
32768,28,32768,2,4,1256,1
16704,84,7808,14,10,1056,1
16736,84,29392,14,10,1056,1
33088,28,5040,9,6,3848,1
1344,28,4096,14,6,3007784,1
49472,84,219376,14,10,3467904,1
49504,84,829568,14,10,3467904,1
33088,28,8880,9,6,3483832,1
33088,28,13648,9,6,3483832,1
16704,84,53680,14,10,1048,1
16736,84,153456,14,10,1048,1
320,28,4960,9,6,1048,1
320,28,4512,9,6,1048,1
16736,84,13312,14,10,1128,1
34144,28,36952,11,4,1104,1
34144,28,653780,48,4,1208,1
34144,28,81132,48,4,1604,1
320,28,964560,10,5,64536,1
320,28,758752,10,5,85704,1
320,56,139664,12,6,1712,1
320,56,143760,12,6,1712,1
16736,84,89440,14,10,3208,1
320,28,5776,9,6,3272,1
49504,84,9136,14,10,50048,1
33088,28,4608,9,6,50048,1
34112,0,0,11,4,792,1
320,56,430720,12,6,1624,1
320,56,434816,12,6,1624,1
16704,84,97232,14,10,321928,1
16736,84,496928,14,10,321928,1
320,28,5440,9,6,321928,1
320,28,6736,9,6,321928,1
16704,84,55808,14,10,25864,1
16736,84,285424,14,10,25872,1
33088,56,19036,11,5,1056,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34112,0,0,11,4,768,1
34144,28,151316,11,4,1032,1
34144,28,19540,11,4,1576,1
34144,28,18520,11,4,4008,1
34144,28,27560,11,4,1008,1
34144,0,0,11,4,1080,1
34144,0,0,11,4,69400,1
34144,28,211152,11,4,1040,1
34144,28,130192,11,4,3976,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34112,0,0,11,4,1112,1
34144,56,26404,48,4,6240,1
34112,56,70928,11,5,1266,1
34144,56,75584,48,4,43080,1
34144,56,473924,48,4,52196,1
34112,56,1414716,11,5,1330,1
34112,56,2218360,11,5,1048,1
34144,56,312656,48,4,1088,1
34144,56,19144,48,4,1252,1
34144,56,160812,48,4,1128,1
34144,56,117368,48,4,1176,1
34144,56,510644,48,4,1176,1
16704,84,42176,14,10,706712,1
16736,84,537424,14,10,706712,1
320,28,7904,9,6,702032,1
320,28,6016,9,6,702032,1
320,28,4144,10,6,1724332,1
320,28,4128,10,6,1565040,1
320,28,4144,10,6,1724332,1
320,28,4144,10,6,1724332,1
16704,84,7776,14,10,1304,1
16736,84,78768,14,10,1304,1
320,28,5104,9,6,1304,1
320,84,162240,14,6,1128,1
49632,84,66880,14,10,2392,1
32768,28,2334720,2,4,1256,1
64,28,4960,9,6,65924,1
64,28,4960,9,6,70456,1
64,28,4960,9,6,45852,1
64,28,4992,9,6,68112,1
64,28,4864,9,6,145680,1
64,28,4864,9,6,144760,1
64,28,4864,9,6,145432,1
64,28,4880,9,6,148952,1
33088,28,4816,9,6,2040,1
16704,84,17984,14,10,2008,1
16736,84,127168,14,10,2008,1
64,28,6224,9,6,1336,1
320,28,5168,9,6,1336,1
64,28,6640,9,6,61000,1
320,28,5392,9,6,61000,1
64,0,0,9,6,163088,1
1344,0,0,9,6,163088,1
64,56,403872,8,6,1400,1
16736,84,789328,14,10,707944,1
16704,84,22000,14,10,707944,1
320,56,425880,8,6,1400,1
320,84,185036,14,6,7648,1
34112,0,0,6,4,29472,1
34112,0,0,10,5,422352,1
34112,84,41296,14,5,104960,1
50496,84,41328,14,5,193712,1
16704,84,5056,14,10,1080,1
16736,84,18624,14,10,1080,1
320,28,4832,9,6,1080,1
320,28,4464,9,6,1080,1
32768,28,40960,2,4,1256,1
32768,28,40960,2,4,1256,1
1344,56,4096,14,10,853392,1
352,56,4096,14,10,853392,1
320,0,0,10,6,840456,1
64,0,0,9,6,761840,1
16704,84,68848,14,10,16936,1
16736,84,987632,14,10,16936,1
34144,28,18932,11,4,960,1
34144,28,19252,11,4,1024,1
32768,28,49152,2,4,1256,1
32768,28,32768,2,4,1256,1
33088,28,4848,9,6,2064,1
49472,84,12000,14,10,2056,1
0,0,0,2,4,1256,1
16704,84,216768,14,10,1048,1
16736,84,225456,14,10,1048,1
320,28,4224,9,6,1048,1
320,28,4352,9,6,1048,1
16704,84,4432,14,10,1056,1
16736,84,13072,14,10,1056,1
16704,84,4544,14,10,1048,1
16736,84,17360,14,10,1048,1
320,28,4240,9,6,1048,1
320,28,4400,9,6,1048,1
17728,84,6656,14,10,1032,1
16736,84,11168,14,10,1032,1
16736,84,224076,14,6,7648,1
1344,28,14828,8,4,1504,1
16736,84,6033376,14,10,5750896,1
49504,84,126464,14,10,2328,1
49504,84,70048,14,10,88000,1
1344,28,4096,14,6,3672,1
16736,56,12581616,14,10,1000,1
16736,84,14842528,14,10,1024,1
320,28,4365824,12,10,1024,1
49504,28,317200,14,6,8168,1
34112,0,0,8,4,880,1
1088,28,8400,8,4,1040,1
49504,84,296320,12,6,1892,1
352,56,4096,14,10,693448,1
16704,84,18288,14,10,976,1
16736,84,152784,14,10,976,1
320,28,4160,12,6,912,1
320,28,4400,8,4,912,1
320,84,1339916,14,6,2339112,1
1344,28,4096,14,6,361304,1
16704,84,14352,14,10,17120,1
16736,84,337616,14,10,17120,1
320,28,4832,9,6,17112,1
320,28,5536,9,6,17112,1
16704,84,19296,14,10,1360,1
352,84,13632,14,6,1024,1
16736,84,289536,14,10,1488,1
16704,84,34576,14,10,1488,1
16704,84,69376,14,10,1488,1
16736,84,1197968,14,10,1056,1
352,56,123760,12,6,1328,1
32768,28,16384,2,4,1256,1
34144,28,82464,11,4,960,1
16736,84,69008,14,10,1056,1
16704,84,119984,14,6,992,1
16736,84,143392,14,6,992,1
0,28,528384,9,0,25536,1
0,28,442368,9,0,21628,1
32832,28,5200,9,6,6416,1
320,28,5392,9,6,24872,1
16704,84,28320,14,10,25896,1
16736,84,392176,14,10,25896,1
320,28,4752,9,6,24872,1
16704,84,19776,14,10,608568,1
16736,84,252816,14,10,608568,1
320,28,5360,9,6,609456,1
320,28,6624,9,6,609456,1
16736,84,152288,14,10,1096,1
16704,84,15248,14,10,1096,1
49632,84,13344,14,10,2576,1
320,28,57616,10,5,1912,1
320,28,70176,10,5,1888,1
33088,28,25136,10,5,33016,1
352,0,0,12,6,888,1
320,28,40560,14,6,936,1
320,28,416928,14,6,944,1
352,0,0,12,6,880,1
320,28,119360,14,6,928,1
16704,84,9808,14,10,3016,1
16736,84,75088,14,10,3016,1
33088,0,0,10,5,1657720,1
33088,28,115184,10,5,33208,1
33088,28,123856,10,5,11844,1
33088,28,185056,10,5,32904,1
320,28,20880,10,5,928,1
320,28,16592,10,5,952,1
320,28,8480,10,5,896,1
320,28,8368,10,5,920,1
320,84,13524,14,6,17192,1
49504,84,858864,14,10,2048,1
33088,28,5152,9,6,2024,1
49472,84,7072,14,10,2024,1
49504,84,66000,14,10,2024,1
33088,28,4640,9,6,2024,1
16704,84,8128,14,10,1024,1
16736,84,86928,14,10,1024,1
320,28,4480,9,6,1024,1
320,28,4864,9,6,1024,1
1280,28,46880,8,4,1536,1
1280,28,46880,8,4,1536,1
34144,28,52436,48,4,2360,1
34144,28,52428,48,4,2360,1
320,56,8336,12,6,796,1
32768,28,277568,8,4,161456,1
352,56,62128,12,6,1616,1
320,56,546048,12,6,2984,1
33088,56,533728,12,6,3288,1
320,56,546048,12,6,2984,1
33088,56,533728,12,6,3288,1
352,56,592432,12,6,2984,1
33120,56,580064,12,6,3288,1
49600,84,4384,14,10,1072,1
49632,84,12976,14,10,1072,1
16864,84,184016,14,10,30496,1
16832,84,21248,14,10,30496,1
320,28,4912,9,6,1032,1
320,28,4512,9,6,1032,1
16704,84,18400,14,10,1056,1
16736,84,136432,14,10,1056,1
320,28,5200,9,6,1056,1
320,28,4640,9,6,1056,1
16704,84,5616,14,10,1048,1
320,28,74528,9,5,1424,1
16736,84,442656,14,10,44160,1
49504,84,215728,14,10,9104,1
320,28,108320,10,5,1452,1
16704,84,9472,14,10,1088,1
16736,84,61856,14,10,1088,1
33088,28,5616,9,6,2016,1
33088,28,4880,9,6,2016,1
33088,56,776064,12,6,376136,1
16736,84,392864,14,10,1024,1
33088,56,279520,12,6,1880,1
33088,56,279520,12,6,1880,1
33088,56,328576,12,6,1608,1
320,56,274864,12,6,1280,1
34112,0,0,8,4,908,1
34112,0,0,8,4,936,1
320,56,336352,12,6,1288,1
352,84,1001760,14,6,2144,1
320,28,1005984,10,5,1881,1
0,0,0,2,4,1136,1
320,84,839264,14,6,2176,1
0,0,0,2,4,1136,1
352,28,855568,14,6,0,1
33120,28,1067904,14,6,0,1
320,0,0,11,5,480,1
0,0,0,2,4,0,1
352,28,1185088,14,6,0,1
34144,0,0,11,4,1056,1
34144,0,0,48,4,1232,1
34144,0,0,48,4,1232,1
34144,0,0,48,4,1208,1
34144,0,0,48,4,1160,1
320,84,13908,14,6,1208,1
1344,28,4096,14,6,832376,1
320,84,330932,14,6,1200,1
17728,84,4096,14,10,968,1
16736,84,4096,14,10,968,1
1344,28,4096,9,6,1016,1
64,28,4096,9,6,1016,1
352,28,101376,14,6,436,1
33120,28,26992,14,6,436,1
33120,28,136064,14,6,436,1
32768,28,53248,2,4,1256,1
320,84,10736,14,6,4824,1
16704,84,4960,14,10,7064,1
16736,84,35360,14,10,7072,1
320,28,4704,9,6,7000,1
320,28,5248,9,6,7000,1
33088,28,5584,9,6,525752,1
33088,28,7024,9,6,525752,1
49504,84,331888,14,10,411456,1
33120,84,3347808,14,6,9475624,1
352,84,4096,14,6,10374672,1
320,56,10466944,14,6,32540,1
352,56,11686192,14,6,32540,1
320,56,3409904,14,6,1689,1
352,56,3728336,14,6,1689,1
320,28,4321984,9,6,1008,1
320,84,12122752,14,6,26680,1
320,28,5686656,9,6,1008,1
352,84,14479520,14,6,26680,1
16736,84,14778704,14,6,26680,1
16704,84,12399728,14,6,26680,1
320,28,980048,9,5,1392,1
32768,28,279472,9,5,832,1
320,28,1300976,9,5,1464,1
49504,84,29104,14,10,5896,1
16704,84,7776,14,10,1008,1
16736,84,83648,14,10,1008,1
49504,84,86240,14,10,1360,1
16704,84,10784,14,10,2416,1
16736,84,105104,14,10,2416,1
16704,84,4352,14,10,1056,1
16736,84,12960,14,10,1056,1
16704,84,6384,14,10,1080,1
320,28,4336,9,6,1080,1
352,56,45856,11,6,1408,1
352,56,706032,11,6,1288,1
32768,28,20480,2,4,1256,1
16704,84,6016,14,10,1048,1
16736,84,35616,14,10,1048,1
16736,84,926176,14,10,1296,1
16704,84,58960,14,10,1296,1
49472,84,4512,14,10,1872,1
49504,84,13504,14,10,1872,1
16704,84,8640,14,10,1304,1
16736,84,34592,14,10,1304,1
16704,84,31312,14,10,19800,1
16736,84,649936,14,10,19800,1
448,28,6144,9,6,4200,1
16704,84,46848,14,10,1080,1
16736,84,319712,14,10,1080,1
448,28,5120,9,6,1080,1
16704,84,5056,14,10,1048,1
16736,84,22272,14,10,1048,1
320,28,4624,9,6,1048,1
16736,84,182016,14,10,120128,1
49504,84,78096,14,10,91040,1
33088,28,5280,9,6,91040,1
33088,28,4848,9,6,90992,1
49504,84,352656,14,10,536416,1
33088,28,7408,9,6,94200,1
16704,84,6512,14,10,4464,1
16736,84,45952,14,10,4464,1
320,28,4656,9,6,4464,1
320,28,5184,9,6,4464,1
320,28,6704,9,6,120864,1
16736,84,378176,14,10,124352,1
16704,84,33936,14,10,124344,1
320,28,5392,9,6,120856,1
16736,84,182192,14,10,1024,1
320,28,5232,9,6,1024,1
33088,56,74272,12,6,1720,1
33120,56,74800,12,6,1720,1
32768,28,152304,9,5,5104,1
32768,28,161248,9,5,5104,1
16704,84,293280,14,10,1112,1
16736,84,386736,14,10,1112,1
16704,84,767856,14,10,1176,1
16736,84,806624,14,10,1176,1
448,28,8464,10,5,952,1
448,28,12848,10,5,992,1
33216,28,75472,10,5,960,1
33216,28,42560,10,5,0,1
448,28,1990400,10,5,294460,1
448,28,13008,10,5,920,1
448,28,201312,10,5,296220,1
33216,28,308528,10,5,984,1
448,28,82784,10,5,912,1
448,28,1160416,10,5,936,1
448,28,8480,10,5,944,1
448,28,292848,10,5,960,1
128,28,61696,10,5,1048,1
448,28,29184,10,5,992,1
33216,28,58192,10,5,968,1
33216,28,8688,10,5,936,1
448,28,82448,10,5,976,1
448,28,53616,10,5,976,1
33216,28,30400,10,5,976,1
448,28,20880,10,5,984,1
448,28,25200,10,5,976,1
49472,84,4848,14,10,2528,1
33088,28,4688,9,6,2528,1
320,28,7824,9,6,911272,1
16736,84,808176,14,10,3474288,1
16704,84,14144,14,10,3474280,1
320,28,5968,9,6,911264,1
16736,84,94512,14,10,5808,1
320,28,4752,9,6,5552,1
16736,84,93392,14,10,1328,1
34144,28,31544,48,4,1680,1
33024,0,0,11,6,1536,1
33056,0,0,11,6,1536,1
16736,84,1123936,14,10,3816,1
16704,84,179120,14,10,3816,1
1280,28,22448,8,4,1544,1
1280,28,22448,8,4,1544,1
34144,28,28924,48,4,2328,1
320,0,0,10,5,984,1
320,0,0,12,6,928,1
320,0,0,10,5,952,1
320,0,0,12,6,928,1
320,0,0,10,5,1040,1
320,0,0,12,6,968,1
320,0,0,10,5,1016,1
320,0,0,12,6,928,1
16736,84,24512,14,10,1328,1
16736,84,163312,14,10,2496,1
16736,84,206576,14,10,1008,1
0,28,136080,9,6,1008,1
16704,84,126720,14,10,68920,1
16736,84,824000,14,10,68920,1
320,28,5280,9,6,68936,1
320,28,6448,9,6,68936,1
16704,84,421632,14,10,1296,1
16736,84,4057232,14,10,1296,1
33120,84,12880,14,6,80744,1
352,84,8192,14,6,2536,1
1344,84,8192,14,6,2576,1
352,84,1734368,14,6,2544,1
320,84,2753568,14,6,2584,1
352,84,381408,14,6,0,1
33120,84,14064,14,6,144,1
33120,84,12880,14,6,79184,1
33088,84,12576,14,6,79216,1
49504,84,339424,14,10,1505848,1
1344,84,4096,14,10,1008,1
32768,28,2166875,2,4,1256,1
33088,28,7840,9,6,379792,1
16736,84,27456,14,10,1056,1
49504,84,1335840,14,6,1072,1
1344,56,4096,14,10,1154152,1
16704,84,5312,14,10,6040,1
16736,84,192192,14,10,3480,1
32768,28,49152,2,4,1256,1
16736,84,26864,14,10,1328,1
49504,84,60448,14,10,1024,1
33088,0,0,2,5,328448,1
0,28,148448,8,4,1104,1
0,28,135776,8,4,1024,1
49504,84,1507600,14,10,5608,1
352,84,82768,14,5,1456,1
33088,28,4784,8,5,1624,1
1344,28,87972,8,4,18088,1
16736,84,216224,14,10,3928,1
16736,84,58352,14,10,3304,1
1344,28,102952,8,4,15588,1
16736,84,1541200,14,10,1272424,1
320,28,5792,9,6,289080,1
16736,84,158096,14,10,2560,1
320,28,5296,9,6,1360,1
49632,84,289088,14,10,46080,1
33088,28,6352,9,6,68928,1
49600,84,4512,14,10,2096,1
33088,28,4480,9,6,1784,1
32768,28,102400,2,4,1256,1
352,84,132288,14,6,2872,1
32768,28,53248,2,4,1256,1
32768,28,53248,2,4,1256,1
33088,28,5280,9,6,2056,1
49472,84,5072,14,10,2056,1
49504,84,51552,14,10,2056,1
33088,28,4688,9,6,2056,1
16704,84,199728,14,10,189704,1
16736,84,634384,14,10,189704,1
320,28,4944,9,6,189688,1
320,28,5776,9,6,189688,1
33088,56,205840,12,6,11848,1
33088,56,222304,12,6,11976,1
320,56,49520,12,6,1648,1
320,56,49520,12,6,1656,1
320,56,111328,12,6,305560,1
320,56,115424,12,6,305576,1
352,56,116176,12,6,305560,1
352,56,124368,12,6,305576,1
320,56,243872,12,6,308848,1
320,56,280768,12,6,308864,1
352,56,482656,12,6,308848,1
352,56,523648,12,6,308864,1
320,56,12967136,12,6,2624,1
33088,56,1095552,12,6,351032,1
320,56,15261456,12,6,2632,1
33088,56,1230768,12,6,642680,1
33088,56,16768,12,6,2728,1
33088,56,16768,12,6,2736,1
1344,0,0,12,6,13341104,1
1344,0,0,12,6,14710616,1
320,56,74144,12,6,1480,1
16704,84,17952,14,10,1016,1
320,28,4304,9,6,1040,1
64,28,4496,9,6,1040,1
33120,28,42576,14,6,480,1
16736,84,257776,14,10,1792408,1
320,28,5440,9,6,1577728,1
320,28,6720,9,6,1577728,1
16736,84,68672,14,10,51192,1
16736,84,63936,14,10,1288,1
64,28,5040,9,6,1288,1
16704,84,10176,14,10,6840,1
16736,84,62976,14,10,6840,1
16704,84,11184,14,10,38384,1
16736,84,121808,14,10,38384,1
320,28,4880,9,6,42504,1
320,28,5664,9,6,42504,1
16704,84,38160,14,10,1862464,1
16736,84,709840,14,10,1862464,1
320,28,5232,9,6,683984,1
320,28,6352,9,6,683984,1
33088,28,4736,9,6,44848,1
49472,84,9920,14,10,44800,1
49504,84,37312,14,10,44800,1
33088,28,4416,9,6,44848,1
33088,28,5568,9,6,10208,1
49472,84,35856,14,10,12528,1
49504,84,292576,14,10,12528,1
32768,28,24576,2,4,1256,1
32768,28,40960,2,4,1256,1
32768,28,40960,2,4,1256,1
33088,56,165632,14,6,23620,1
33120,56,524624,14,6,23620,1
33088,56,164720,14,6,22480,1
33120,56,486512,14,6,22480,1
16704,84,23280,14,10,31128,1
16736,84,148032,14,10,31128,1
320,28,4672,9,6,31128,1
64,28,5248,9,6,31128,1
320,28,581968,10,5,920,1
320,28,516272,10,5,944,1
0,28,16384,2,4,0,1
32832,28,8384,9,6,280016,1
33088,28,12784,9,6,280024,1
320,84,28503616,12,6,1792,1
320,84,28336352,12,6,1768,1
16704,84,15280,14,10,1104,1
16736,84,50464,14,10,1104,1
320,28,5584,9,6,1104,1
320,28,4832,9,6,1104,1
49504,84,266336,14,10,1520,1
49472,84,49472,14,10,1520,1
49504,84,61968,14,10,1520,1
34112,56,48300,48,4,1612,1
34144,56,48292,48,4,1612,1
16704,84,19120,14,10,1096,1
16736,84,282000,14,10,1096,1
33088,0,0,2,5,410632,1
16704,84,9936,14,10,1288,1
16736,84,54464,14,10,1288,1
320,28,4560,9,6,1288,1
64,28,5040,9,6,1288,1
33088,28,4816,9,6,2112,1
16704,84,45152,14,10,8888,1
16736,84,353888,14,10,8888,1
320,28,5088,9,6,12544,1
320,28,6016,9,6,12544,1
16736,84,93040,14,10,1296,1
320,28,4704,9,6,1296,1
320,28,5248,9,6,1296,1
352,0,0,11,6,189328,1
16704,84,13264,14,10,2008,1
16736,84,186400,14,10,2008,1
320,28,4816,9,6,2008,1
320,28,5520,9,6,2008,1
320,28,5920,9,6,21080,1
320,28,5008,9,6,21080,1
16704,84,20976,14,10,1024,1
16736,84,389088,14,10,1024,1
320,28,4800,9,6,1024,1
320,28,5488,9,6,1024,1
33088,28,6768,9,6,57288,1
16704,84,21088,14,10,1312,1
16736,84,182000,14,10,1312,1
320,28,4992,9,6,1312,1
320,28,5840,9,6,1312,1
16736,84,381840,14,10,1296,1
320,28,5712,9,6,1296,1
33088,28,8592,10,5,2424,1
33088,28,8432,10,5,2644,1
49472,84,5216,14,10,1064,1
49504,84,30944,14,10,1064,1
320,84,13644,14,6,1176,1
320,84,13644,14,6,1192,1
320,28,4544,9,6,992,1
16704,84,4480,14,10,992,1
16736,84,13168,14,10,992,1
320,28,4320,9,6,992,1
16736,84,378544,14,10,984,1
33088,28,4480,9,6,2408,1
49472,84,4416,14,10,2408,1
49504,84,9008,14,10,2408,1
33088,28,4304,9,6,2408,1
32768,28,36864,2,4,1256,1
